Date,Region,Malades
2020-03-29,Dakar,85
2020-03-31,Dakar,117
2020-04-01,Dakar,131
2020-04-02,Dakar,136
2020-04-03,Dakar,140
2020-04-04,Dakar,150
2020-04-05,Dakar,153
2020-04-06,Dakar,156
2020-04-07,Dakar,167
2020-04-08,Dakar,173
2020-04-09,Dakar,176
2020-04-10,Dakar,180
2020-04-14,Dakar,195
2020-04-15,Dakar,207
2020-04-16,Dakar,215
2020-04-17,Dakar,218
2020-04-18,Dakar,224
2020-04-19,Dakar,232
2020-04-20,Dakar,236
2020-04-21,Dakar,257
2020-04-22,Dakar,272
2020-04-23,Dakar,297
2020-04-24,Dakar,341
2020-04-25,Dakar,400
2020-04-26,Dakar,417
2020-04-27,Dakar,467
2020-04-28,Dakar,515
2020-04-29,Dakar,559
2020-04-30,Dakar,579
2020-05-01,Dakar,627
2020-05-02,Dakar,669
2020-05-03,Dakar,714
2020-05-04,Dakar,765
2020-05-05,Dakar,795
2020-05-06,Dakar,869
2020-05-07,Dakar,917
2020-05-08,Dakar,959
2020-05-09,Dakar,1029
2020-05-10,Dakar,1092
2020-05-11,Dakar,1224
2020-05-12,Dakar,1316
2020-05-13,Dakar,1396
2020-05-14,Dakar,1449
2020-05-15,Dakar,1546
2020-05-16,Dakar,1657
2020-05-17,Dakar,1705
2020-05-18,Dakar,1760
2020-05-19,Dakar,1830
2020-05-20,Dakar,1908
2020-05-21,Dakar,1982
2020-05-22,Dakar,2066
2020-05-23,Dakar,2128
2020-05-24,Dakar,2194
2020-05-25,Dakar,2274
2020-05-26,Dakar,2301
2020-05-27,Dakar,2384
2020-05-28,Dakar,2461
2020-05-29,Dakar,2525
2020-05-30,Dakar,2619
2020-05-31,Dakar,2711
2020-06-01,Dakar,2785
2020-06-02,Dakar,2856
2020-06-03,Dakar,2936
2020-06-04,Dakar,3017
2020-06-05,Dakar,3115
2020-06-07,Dakar,3261
2020-06-08,Dakar,3350
2020-06-09,Dakar,3424
2020-06-10,Dakar,3533
2020-06-11,Dakar,3639
2020-06-12,Dakar,3719
2020-06-14,Dakar,3889
2020-06-15,Dakar,3950
2020-06-16,Dakar,4007
2020-06-17,Dakar,4110
2020-06-18,Dakar,4186
2020-06-19,Dakar,4305
2020-06-20,Dakar,4412
2020-06-21,Dakar,4499
2020-06-22,Dakar,4540
2020-06-23,Dakar,4585
2020-06-24,Dakar,4662
2020-06-25,Dakar,4747
2020-06-26,Dakar,4810
2020-06-27,Dakar,4889
2020-06-28,Dakar,4986
2020-06-29,Dakar,5046
2020-06-30,Dakar,5080
2020-07-01,Dakar,5166
2020-07-02,Dakar,5254
2020-07-03,Dakar,5325
2020-07-04,Dakar,5400
2020-07-05,Dakar,5503
2020-07-06,Dakar,5560
2020-07-07,Dakar,5607
2020-07-08,Dakar,5706
2020-07-09,Dakar,5787
2020-07-10,Dakar,5867
2020-07-11,Dakar,5979
2020-07-12,Dakar,6062
2020-07-13,Dakar,6117
2020-07-14,Dakar,6154
2020-07-15,Dakar,6243
2020-07-16,Dakar,6333
2020-07-17,Dakar,6372
2020-07-20,Dakar,6682
2020-07-21,Dakar,6712
2020-07-22,Dakar,6798
2020-07-23,Dakar,6915
2020-07-24,Dakar,7016
2020-07-25,Dakar,7119
2020-07-26,Dakar,7196
2020-07-28,Dakar,7291
2020-07-29,Dakar,7414
2020-07-30,Dakar,7520
2020-08-02,Dakar,7713
2020-08-04,Dakar,7781
2020-08-05,Dakar,7844
2020-08-07,Dakar,8085
2020-08-09,Dakar,8256
2020-08-10,Dakar,8329
2020-08-11,Dakar,8349
2020-08-12,Dakar,8472
2020-08-14,Dakar,8631
2020-08-16,Dakar,8733
2020-08-17,Dakar,8840
2020-08-18,Dakar,8875
2020-08-19,Dakar,8939
2020-08-20,Dakar,9009
2020-08-21,Dakar,9055
2020-08-22,Dakar,9153
2020-08-23,Dakar,9203
2020-08-24,Dakar,9243
2020-08-25,Dakar,9262
2020-08-26,Dakar,9340
2020-08-27,Dakar,9395
2020-08-28,Dakar,9446
2020-08-30,Dakar,9541
2020-08-31,Dakar,9575
2020-09-01,Dakar,9583
2020-09-02,Dakar,9631
2020-09-03,Dakar,9677
2020-09-04,Dakar,9709
2020-09-05,Dakar,9740
2020-09-06,Dakar,9772
2020-09-07,Dakar,9788
2020-09-08,Dakar,9803
2020-09-09,Dakar,9841
2020-09-10,Dakar,9873
2020-09-11,Dakar,9895
2020-09-12,Dakar,9928
2020-09-13,Dakar,9955
2020-09-14,Dakar,9971
2020-09-15,Dakar,9977
2020-09-16,Dakar,10005
2020-09-17,Dakar,10046
2020-09-18,Dakar,10062
2020-09-19,Dakar,10086
2020-09-20,Dakar,10100
2020-09-21,Dakar,10116
2020-09-22,Dakar,10127
2020-09-23,Dakar,10154
2020-09-24,Dakar,10165
2020-09-27,Dakar,10221
2020-09-28,Dakar,10227
2020-09-29,Dakar,10233
2020-09-30,Dakar,10253
2020-10-01,Dakar,10276
2020-10-02,Dakar,10298
